timestamp,elapsed_seconds,dominant_emotion,confidence,all_emotions,face_box
2025-09-03T18:05:52.382333,0.0,angry,0.4,"{'angry': 0.4, 'disgust': 0.0, 'fear': 0.18, 'happy': 0.01, 'sad': 0.05, 'surprise': 0.32, 'neutral': 0.03}","[400, 216, 119, 153]"
2025-09-03T18:05:52.570833,0.19,angry,0.64,"{'angry': 0.64, 'disgust': 0.0, 'fear': 0.16, 'happy': 0.0, 'sad': 0.05, 'surprise': 0.13, 'neutral': 0.01}","[402, 213, 117, 152]"
2025-09-03T18:05:52.764611,0.38,angry,0.41,"{'angry': 0.41, 'disgust': 0.0, 'fear': 0.14, 'happy': 0.02, 'sad': 0.08, 'surprise': 0.28, 'neutral': 0.07}","[398, 210, 121, 157]"
2025-09-03T18:05:52.934284,0.55,angry,0.45,"{'angry': 0.45, 'disgust': 0.0, 'fear': 0.09, 'happy': 0.02, 'sad': 0.08, 'surprise': 0.18, 'neutral': 0.18}","[397, 210, 122, 157]"
2025-09-03T18:05:53.118369,0.74,fear,0.28,"{'angry': 0.23, 'disgust': 0.0, 'fear': 0.28, 'happy': 0.03, 'sad': 0.14, 'surprise': 0.25, 'neutral': 0.06}","[399, 217, 112, 137]"
2025-09-03T18:05:53.292920,0.91,angry,0.43,"{'angry': 0.43, 'disgust': 0.0, 'fear': 0.18, 'happy': 0.01, 'sad': 0.13, 'surprise': 0.11, 'neutral': 0.13}","[397, 212, 121, 153]"
2025-09-03T18:05:53.466601,1.08,angry,0.41,"{'angry': 0.41, 'disgust': 0.0, 'fear': 0.16, 'happy': 0.01, 'sad': 0.11, 'surprise': 0.17, 'neutral': 0.13}","[397, 208, 121, 155]"
2025-09-03T18:05:53.646176,1.26,angry,0.36,"{'angry': 0.36, 'disgust': 0.0, 'fear': 0.13, 'happy': 0.05, 'sad': 0.14, 'surprise': 0.2, 'neutral': 0.12}","[398, 206, 122, 157]"
2025-09-03T18:05:53.814658,1.43,angry,0.27,"{'angry': 0.27, 'disgust': 0.0, 'fear': 0.12, 'happy': 0.06, 'sad': 0.11, 'surprise': 0.26, 'neutral': 0.17}","[396, 205, 124, 159]"
2025-09-03T18:05:53.990508,1.61,angry,0.51,"{'angry': 0.51, 'disgust': 0.0, 'fear': 0.09, 'happy': 0.01, 'sad': 0.08, 'surprise': 0.15, 'neutral': 0.17}","[396, 206, 123, 161]"
2025-09-03T18:05:54.175081,1.79,angry,0.38,"{'angry': 0.2, 'disgust': 0.0, 'fear': 0.11, 'happy': 0.03, 'sad': 0.13, 'surprise': 0.15, 'neutral': 0.38}","[394, 204, 122, 160]"
2025-09-03T18:05:54.358395,1.98,angry,0.27,"{'angry': 0.24, 'disgust': 0.0, 'fear': 0.21, 'happy': 0.05, 'sad': 0.15, 'surprise': 0.27, 'neutral': 0.09}","[393, 213, 117, 144]"
2025-09-03T18:05:54.532600,2.15,angry,0.24,"{'angry': 0.24, 'disgust': 0.0, 'fear': 0.24, 'happy': 0.04, 'sad': 0.14, 'surprise': 0.23, 'neutral': 0.1}","[396, 218, 111, 138]"
2025-09-03T18:05:54.719062,2.34,angry,0.44,"{'angry': 0.44, 'disgust': 0.0, 'fear': 0.2, 'happy': 0.01, 'sad': 0.14, 'surprise': 0.12, 'neutral': 0.08}","[389, 212, 119, 150]"
2025-09-03T18:05:54.890490,2.51,angry,0.35,"{'angry': 0.35, 'disgust': 0.0, 'fear': 0.19, 'happy': 0.03, 'sad': 0.11, 'surprise': 0.22, 'neutral': 0.1}","[388, 211, 118, 150]"
2025-09-03T18:05:55.045138,2.66,angry,0.45,"{'angry': 0.45, 'disgust': 0.0, 'fear': 0.1, 'happy': 0.01, 'sad': 0.22, 'surprise': 0.06, 'neutral': 0.16}","[389, 221, 113, 142]"
2025-09-03T18:05:55.200318,2.82,angry,0.28,"{'angry': 0.19, 'disgust': 0.0, 'fear': 0.21, 'happy': 0.04, 'sad': 0.28, 'surprise': 0.16, 'neutral': 0.11}","[382, 223, 105, 124]"
2025-09-03T18:05:55.402053,3.02,angry,0.46,"{'angry': 0.24, 'disgust': 0.0, 'fear': 0.15, 'happy': 0.01, 'sad': 0.46, 'surprise': 0.04, 'neutral': 0.11}","[362, 215, 112, 141]"
2025-09-03T18:05:55.571673,3.19,angry,0.45,"{'angry': 0.1, 'disgust': 0.0, 'fear': 0.07, 'happy': 0.0, 'sad': 0.35, 'surprise': 0.03, 'neutral': 0.45}","[352, 224, 108, 137]"
2025-09-03T18:05:55.756491,3.37,angry,0.43,"{'angry': 0.09, 'disgust': 0.0, 'fear': 0.06, 'happy': 0.0, 'sad': 0.41, 'surprise': 0.01, 'neutral': 0.43}","[346, 230, 104, 132]"
2025-09-03T18:05:55.944399,3.56,angry,0.68,"{'angry': 0.07, 'disgust': 0.0, 'fear': 0.03, 'happy': 0.0, 'sad': 0.22, 'surprise': 0.01, 'neutral': 0.68}","[336, 240, 98, 120]"
2025-09-03T18:05:56.119098,3.74,angry,0.38,"{'angry': 0.07, 'disgust': 0.0, 'fear': 0.08, 'happy': 0.02, 'sad': 0.31, 'surprise': 0.14, 'neutral': 0.38}","[320, 250, 92, 116]"
2025-09-03T18:05:56.286654,3.9,neutral,0.39,"{'angry': 0.07, 'disgust': 0.0, 'fear': 0.1, 'happy': 0.04, 'sad': 0.39, 'surprise': 0.04, 'neutral': 0.35}","[305, 242, 98, 122]"
2025-09-03T18:05:56.457638,4.08,sad,0.55,"{'angry': 0.18, 'disgust': 0.0, 'fear': 0.08, 'happy': 0.03, 'sad': 0.55, 'surprise': 0.03, 'neutral': 0.13}","[285, 222, 110, 138]"
2025-09-03T18:05:56.644055,4.26,sad,0.47,"{'angry': 0.2, 'disgust': 0.0, 'fear': 0.15, 'happy': 0.09, 'sad': 0.47, 'surprise': 0.05, 'neutral': 0.04}","[274, 175, 122, 165]"
2025-09-03T18:05:56.805277,4.42,sad,0.44,"{'angry': 0.13, 'disgust': 0.0, 'fear': 0.07, 'happy': 0.05, 'sad': 0.44, 'surprise': 0.04, 'neutral': 0.26}","[284, 149, 132, 172]"
2025-09-03T18:05:56.967505,4.59,sad,0.68,"{'angry': 0.07, 'disgust': 0.0, 'fear': 0.07, 'happy': 0.02, 'sad': 0.68, 'surprise': 0.03, 'neutral': 0.13}","[312, 212, 117, 149]"
2025-09-03T18:05:57.107413,4.73,sad,0.39,"{'angry': 0.15, 'disgust': 0.0, 'fear': 0.07, 'happy': 0.02, 'sad': 0.39, 'surprise': 0.04, 'neutral': 0.33}","[324, 234, 105, 133]"
2025-09-03T18:05:57.278261,4.9,sad,0.66,"{'angry': 0.04, 'disgust': 0.0, 'fear': 0.02, 'happy': 0.01, 'sad': 0.27, 'surprise': 0.01, 'neutral': 0.66}","[338, 254, 91, 121]"
2025-09-03T18:05:57.434439,5.05,sad,0.47,"{'angry': 0.14, 'disgust': 0.01, 'fear': 0.1, 'happy': 0.01, 'sad': 0.26, 'surprise': 0.01, 'neutral': 0.47}","[335, 256, 94, 123]"
2025-09-03T18:05:57.590028,5.21,sad,0.48,"{'angry': 0.14, 'disgust': 0.0, 'fear': 0.06, 'happy': 0.16, 'sad': 0.12, 'surprise': 0.03, 'neutral': 0.48}","[323, 247, 101, 132]"
